Name,Description,Price1,Price2,Image
Kunstmann,Pack Cerveza Lager (6 Botellas 330 cc c/u),$5.790,$ Precio x L : $17.545,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/944831a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Cerveza de Trigo Weissbier,$1.750,$ Precio x L : $5.303,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/312519a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Del Puerto,Cerveza Amber Ale Botellón,$4.990,$ Precio x L : $4.990,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/884182a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Cerveza Torobayo Lata,$1.590,$ Precio x L : $3.362,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/946485a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Guayacán,Cerveza Stout Botella,$1.590,$ Precio x L : $4.543,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/660781a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cristal,Pack Cervezas Longneck Radler Cero (6 Botellas de 355 cc c/u),$4.890,$ Precio x Un : $815,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/852884a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Damm,Pack cerveza Daura Damm Sin Gluten 330ml,$5.350,$ Precio x Un : $1.338,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/594877a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Volcanes del Sur,Cerveza Dopple Bock B,$1.190,$ Precio x L : $3.400,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/479023a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Escudo,Cervezas Lager,$3.390,$ Precio x Un : $565,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/310123a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Miller ,Miller Six pack Botella,$5.790,$ Precio x Un : $965,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274794a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Guayacán,Cerveza Pale Ale Botella,$1.590,$ Precio x L : $4.543,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/660779a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
